surface	token_sequence	canonical_relation	relation_components	initial_relation_token_offset	final_adp_token_offset	source	notes
above the lower side of	above the lower side of	above the lower side of	above|the|lower|side|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=7.86551801121e-11; ngram_max_frequency=2.00126859529e-10; ngram_nonzero_years=18; ngram_years=2000-2019
above the margin of	above the margin of	above the margin of	above|the|margin|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.80848362206e-09; ngram_max_frequency=2.63511543835e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the middle of	above the middle of	above the middle of	above|the|middle|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.80567874014e-08; ngram_max_frequency=2.29505847799e-08; ngram_nonzero_years=20; ngram_years=2000-2019
above the near edge of	above the near edge of	above the near edge of	above|the|near|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=2.10524465916e-11; ngram_max_frequency=1.18171500363e-10; ngram_nonzero_years=7; ngram_years=2000-2019
above the near end of	above the near end of	above the near end of	above|the|near|end|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=4.47610365439e-11; ngram_max_frequency=2.10961637048e-10; ngram_nonzero_years=12; ngram_years=2000-2019
above the near side of	above the near side of	above the near side of	above|the|near|side|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=2.50044936145e-11; ngram_max_frequency=9.77582320649e-11; ngram_nonzero_years=10; ngram_years=2000-2019
above the opening of	above the opening of	above the opening of	above|the|opening|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=3.77424744791e-09; ngram_max_frequency=5.20888740474e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the outer edge of	above the outer edge of	above the outer edge of	above|the|outer|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=6.96010948875e-10; ngram_max_frequency=1.19730447778e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the outer part of	above the outer part of	above the outer part of	above|the|outer|part|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=6.02582860346e-11; ngram_max_frequency=2.68450373042e-10; ngram_nonzero_years=14; ngram_years=2000-2019
above the outer side of	above the outer side of	above the outer side of	above|the|outer|side|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=6.12722450902e-11; ngram_max_frequency=2.31569069475e-10; ngram_nonzero_years=14; ngram_years=2000-2019
above the outer surface of	above the outer surface of	above the outer surface of	above|the|outer|surface|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.71471807933e-10; ngram_max_frequency=5.81642511932e-10; ngram_nonzero_years=20; ngram_years=2000-2019
above the outside of	above the outside of	above the outside of	above|the|outside|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=9.37226060649e-10; ngram_max_frequency=2.22598406374e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the peak of	above the peak of	above the peak of	above|the|peak|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=3.46744758288e-09; ngram_max_frequency=4.36840741358e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the perimeter of	above the perimeter of	above the perimeter of	above|the|perimeter|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=2.28289035939e-10; ngram_max_frequency=5.53680656878e-10; ngram_nonzero_years=20; ngram_years=2000-2019
above the periphery of	above the periphery of	above the periphery of	above|the|periphery|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.70660906067e-10; ngram_max_frequency=6.38862296398e-10; ngram_nonzero_years=18; ngram_years=2000-2019
above the rear of	above the rear of	above the rear of	above|the|rear|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.45343881409e-09; ngram_max_frequency=2.57318379798e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the right corner of	above the right corner of	above the right corner of	above|the|right|corner|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=4.86187939214e-10; ngram_max_frequency=9.19081699635e-10; ngram_nonzero_years=20; ngram_years=2000-2019
above the right edge of	above the right edge of	above the right edge of	above|the|right|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=2.17291032736e-10; ngram_max_frequency=6.26646623481e-10; ngram_nonzero_years=18; ngram_years=2000-2019
above the right half of	above the right half of	above the right half of	above|the|right|half|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=6.55383348286e-11; ngram_max_frequency=2.36343000726e-10; ngram_nonzero_years=12; ngram_years=2000-2019
above the right of	above the right of	above the right of	above|the|right|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.00524342461e-09; ngram_max_frequency=1.82994119857e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the right part of	above the right part of	above the right part of	above|the|right|part|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=2.75540380443e-11; ngram_max_frequency=1.20132348513e-10; ngram_nonzero_years=9; ngram_years=2000-2019
above the right side of	above the right side of	above the right side of	above|the|right|side|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.95878153246e-09; ngram_max_frequency=3.12362433835e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the rim of	above the rim of	above the rim of	above|the|rim|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=2.67169350924e-08; ngram_max_frequency=3.65049009909e-08; ngram_nonzero_years=20; ngram_years=2000-2019
above the side of	above the side of	above the side of	above|the|side|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=2.70577637986e-09; ngram_max_frequency=5.98433014254e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the summit of	above the summit of	above the summit of	above|the|summit|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=4.13926646223e-09; ngram_max_frequency=1.02174330663e-08; ngram_nonzero_years=20; ngram_years=2000-2019
above the surface of	above the surface of	above the surface of	above|the|surface|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=2.22751830745e-07; ngram_max_frequency=2.58194077174e-07; ngram_nonzero_years=20; ngram_years=2000-2019
above the tip of	above the tip of	above the tip of	above|the|tip|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=9.5191759697e-09; ngram_max_frequency=1.19887315492e-08; ngram_nonzero_years=20; ngram_years=2000-2019
above the top of	above the top of	above the top of	above|the|top|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.30927285582e-07; ngram_max_frequency=1.57354985413e-07; ngram_nonzero_years=20; ngram_years=2000-2019
above the underside of	above the underside of	above the underside of	above|the|underside|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=4.68277053245e-10; ngram_max_frequency=6.78437028778e-10; ngram_nonzero_years=20; ngram_years=2000-2019
above the upper corner of	above the upper corner of	above the upper corner of	above|the|upper|corner|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=3.48947887946e-11; ngram_max_frequency=1.21091484062e-10; ngram_nonzero_years=9; ngram_years=2000-2019
above the upper edge of	above the upper edge of	above the upper edge of	above|the|upper|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=3.21311623367e-09; ngram_max_frequency=4.25046435548e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the upper half of	above the upper half of	above the upper half of	above|the|upper|half|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=9.69599064232e-11; ngram_max_frequency=2.68450373042e-10; ngram_nonzero_years=18; ngram_years=2000-2019
above the upper part of	above the upper part of	above the upper part of	above|the|upper|part|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=8.23070673422e-10; ngram_max_frequency=1.21091481287e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above the upper side of	above the upper side of	above the upper side of	above|the|upper|side|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.08385904071e-10; ngram_max_frequency=2.74293782132e-10; ngram_nonzero_years=16; ngram_years=2000-2019
above tip of	above tip of	above tip of	above|tip|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=6.14218007011e-10; ngram_max_frequency=1.87756188375e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above top of	above top of	above top of	above|top|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=8.07679545042e-09; ngram_max_frequency=2.8710850003e-08; ngram_nonzero_years=20; ngram_years=2000-2019
above underside of	above underside of	above underside of	above|underside|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=3.13253905454e-11; ngram_max_frequency=2.82606577029e-10; ngram_nonzero_years=5; ngram_years=2000-2019
above upper corner of	above upper corner of	above upper corner of	above|upper|corner|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=1.16754043933e-11; ngram_max_frequency=4.25908197599e-11; ngram_nonzero_years=6; ngram_years=2000-2019
above upper edge of	above upper edge of	above upper edge of	above|upper|edge|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=1.23843879249e-10; ngram_max_frequency=3.41371320101e-10; ngram_nonzero_years=17; ngram_years=2000-2019
above upper part of	above upper part of	above upper part of	above|upper|part|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=1.70883501793e-11; ngram_max_frequency=1.13958453785e-10; ngram_nonzero_years=6; ngram_years=2000-2019
above upper side of	above upper side of	above upper side of	above|upper|side|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=1.19242473534e-11; ngram_max_frequency=1.19941861998e-10; ngram_nonzero_years=4; ngram_years=2000-2019
accd'g to	accd'g to	accd'g to	accd'g|to	0	1	WIKTIONARY	source_count=1; source_row_count=1
according to	according to	according to	according|to	0	1	TPP|PDEP|WIKTIONARY|STREUSLE|PASTRIE	source_count=5; source_row_count=5
across apex of	across apex of	across apex of	across|apex|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=4.58004208604e-10; ngram_max_frequency=6.21862827899e-09; ngram_nonzero_years=16; ngram_years=2000-2019
across back of	across back of	across back of	across|back|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=2.17774141784e-09; ngram_max_frequency=3.17721517151e-09; ngram_nonzero_years=20; ngram_years=2000-2019
across back part of	across back part of	across back part of	across|back|part|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=1.00521920648e-11; ngram_max_frequency=1.22421517368e-10; ngram_nonzero_years=3; ngram_years=2000-2019
across base of	across base of	across base of	across|base|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.95214615592e-09; ngram_max_frequency=4.89718969543e-09; ngram_nonzero_years=20; ngram_years=2000-2019
across border of	across border of	across border of	across|border|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.17650242326e-10; ngram_max_frequency=4.04445116287e-10; ngram_nonzero_years=17; ngram_years=2000-2019
across bottom of	across bottom of	across bottom of	across|bottom|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=2.36169732382e-09; ngram_max_frequency=4.5323163278e-09; ngram_nonzero_years=20; ngram_years=2000-2019
across boundary of	across boundary of	across boundary of	across|boundary|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=7.50683830202e-11; ngram_max_frequency=3.22141369136e-10; ngram_nonzero_years=16; ngram_years=2000-2019
across center of	across center of	across center of	across|center|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.76174396876e-09; ngram_max_frequency=3.79458287014e-09; ngram_nonzero_years=20; ngram_years=2000-2019
across corner of	across corner of	across corner of	across|corner|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.37462058923e-10; ngram_max_frequency=3.64000607433e-10; ngram_nonzero_years=18; ngram_years=2000-2019
across crest of	across crest of	across crest of	across|crest|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=3.5803663246e-11; ngram_max_frequency=2.02222558143e-10; ngram_nonzero_years=10; ngram_years=2000-2019
across edge of	across edge of	across edge of	across|edge|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=3.32186252637e-10; ngram_max_frequency=1.77675085755e-09; ngram_nonzero_years=20; ngram_years=2000-2019
across end of	across end of	across end of	across|end|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.21392526812e-09; ngram_max_frequency=4.59051463508e-09; ngram_nonzero_years=20; ngram_years=2000-2019
across entrance of	across entrance of	across entrance of	across|entrance|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=3.33012674728e-11; ngram_max_frequency=1.49516010683e-10; ngram_nonzero_years=9; ngram_years=2000-2019
across face of	across face of	across face of	across|face|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=7.51173035579e-10; ngram_max_frequency=3.10061065711e-09; ngram_nonzero_years=20; ngram_years=2000-2019
across foot of	across foot of	across foot of	across|foot|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=6.33105192403e-11; ngram_max_frequency=1.81735029803e-10; ngram_nonzero_years=15; ngram_years=2000-2019
across from	across from	across from	across|from	0	1	WIKTIONARY|STREUSLE	source_count=2; source_row_count=2
across front edge of	across front edge of	across front edge of	across|front|edge|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=1.84709875867e-11; ngram_max_frequency=8.51816395198e-11; ngram_nonzero_years=7; ngram_years=2000-2019
across front of	across front of	across front of	across|front|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.8968249799e-09; ngram_max_frequency=3.67104746601e-09; ngram_nonzero_years=20; ngram_years=2000-2019
across front part of	across front part of	across front part of	across|front|part|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=1.0567039431e-11; ngram_max_frequency=1.13958453785e-10; ngram_nonzero_years=4; ngram_years=2000-2019
across head of	across head of	across head of	across|head|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.25852057074e-10; ngram_max_frequency=4.04445116287e-10; ngram_nonzero_years=18; ngram_years=2000-2019
across inner side of	across inner side of	across inner side of	across|inner|side|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=1.14129717829e-11; ngram_max_frequency=7.31976493307e-11; ngram_nonzero_years=5; ngram_years=2000-2019
across inner surface of	across inner surface of	across inner surface of	across|inner|surface|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=1.34289877829e-11; ngram_max_frequency=1.46395298661e-10; ngram_nonzero_years=3; ngram_years=2000-2019
across inside of	across inside of	across inside of	across|inside|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=2.27945641182e-10; ngram_max_frequency=1.219711665e-09; ngram_nonzero_years=20; ngram_years=2000-2019
