surface	token_sequence	canonical_relation	relation_components	initial_relation_token_offset	final_adp_token_offset	source	notes
under the opening of	under the opening of	under the opening of	under|the|opening|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.11151901329e-09; ngram_max_frequency=1.74107883666e-09; ngram_nonzero_years=20; ngram_years=2000-2019
under the outer edge of	under the outer edge of	under the outer edge of	under|the|outer|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=7.2203576746e-10; ngram_max_frequency=1.11473186237e-09; ngram_nonzero_years=20; ngram_years=2000-2019
under the outer part of	under the outer part of	under the outer part of	under|the|outer|part|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.15809490296e-10; ngram_max_frequency=3.33704675004e-10; ngram_nonzero_years=18; ngram_years=2000-2019
under the outer side of	under the outer side of	under the outer side of	under|the|outer|side|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.27816861088e-10; ngram_max_frequency=4.12863632171e-10; ngram_nonzero_years=19; ngram_years=2000-2019
under the outer surface of	under the outer surface of	under the outer surface of	under|the|outer|surface|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=4.91395598518e-10; ngram_max_frequency=9.45372002903e-10; ngram_nonzero_years=20; ngram_years=2000-2019
under the outside of	under the outside of	under the outside of	under|the|outside|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=6.11191314226e-10; ngram_max_frequency=1.09997422282e-09; ngram_nonzero_years=20; ngram_years=2000-2019
under the peak of	under the peak of	under the peak of	under|the|peak|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=6.45962758266e-09; ngram_max_frequency=8.66960658819e-09; ngram_nonzero_years=20; ngram_years=2000-2019
under the perimeter of	under the perimeter of	under the perimeter of	under|the|perimeter|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=4.53372911435e-10; ngram_max_frequency=7.43347328136e-10; ngram_nonzero_years=20; ngram_years=2000-2019
under the periphery of	under the periphery of	under the periphery of	under|the|periphery|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=3.21741722153e-10; ngram_max_frequency=8.59150028898e-10; ngram_nonzero_years=20; ngram_years=2000-2019
under the rear of	under the rear of	under the rear of	under|the|rear|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=4.18258434484e-09; ngram_max_frequency=5.33219179921e-09; ngram_nonzero_years=20; ngram_years=2000-2019
under the right corner of	under the right corner of	under the right corner of	under|the|right|corner|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.9213053648e-10; ngram_max_frequency=3.71577268954e-10; ngram_nonzero_years=20; ngram_years=2000-2019
